Sno,Name,Email,Company,
1,Sir/Ma'am,talent@metastart.in,Metastart,
2,Sir/Ma'am,utkarsh@userfindr.com,Userfindr,
3,Sir/Ma'am,debasmita.roy@astrotalk.com,Astrotalk,
4,Sir/Ma'am,hiring@astrotalk.com,Astrotalk,
5,Sir/Ma'am,talent@humantic.ai,Humantic AI,
6,Sir/Ma'am,support@medstown.com,Medstown,
7,Sir/Ma'am,aman.jha@zyod.com,Zyod,
8,Sir/Ma'am,future@groww.in,Groww,
9,Sir/Ma'am,amruta.deshpande1610@gmail.com,Infosys,
10,Sir/Ma'am,tandavkrishna27@gmail.com,Antler ,
11,Sir/Ma'am,rakshita@eatfit.in,EatFit,
12,Sir/Ma'am,careers@fixerra.in,Fixerra,
13,Sir/Ma'am,swapnil.mishra@cars24.com,Cars24,
14,Sir/Ma'am,Mahima.jain@cars24.com,Cars24,
15,Sir/Ma'am,gursharan.kaur@cars24.com,Cars24,
16,Sir/Ma'am,ankita.singh@voltmoney.in,Volt Money,
17,Sir/Ma'am,careers@voltmoney.in,Volt Money,
18,Sir/Ma'am,pankaj@blance.in,Blance,
19,Sir/Ma'am,himanshubarak@gmail.com,Meesho,
20,Sir/Ma'am,piyushsingariya@datazip.io,DataZip,
21,Sir/Ma'am,manik@datazip.io,DataZip,
22,Sir/Ma'am,founders@textrai.com,Textrai,
23,Sir/Ma'am,ipitha.km@tophire.co,Tophire,
24,Sir/Ma'am,atul.nandan@cypherock.com,Cypherock,
25,Sir/Ma'am,mamta.s@zluri.com,Zluri,
26,Sir/Ma'am,shivani.c@zluri.com,Zluri,
27,Sir/Ma'am,rahul@third-unicorn.com,Third Unicorn,
28,Sir/Ma'am,careers@carvelle.in,Carvelle,
29,Sir/Ma'am,people@psytech.ai,psytech.ai,
30,Sir/Ma'am,miskin.shravani@juspay.in,Juspay,
31,Sir/Ma'am,abhinavsingh.k@flipkart.com,Flipkart,
32,Sir/Ma'am,anjali.verma@flipkart.com,Flipkart,
33,Sir/Ma'am,naveen+hiring@getswipe.in,GetSwipe,
34,Sir/Ma'am,chaitrashree.hegde.con@hotstar.com,Hotstar,
35,Sir/Ma'am,hr@paytm.com,Paytm,
36,Sir/Ma'am,shubhi.verma@oyorooms.com,Oyo,
37,Sir/Ma'am,debasmita@gameberrylabs.com,Gameberrylabs,
38,Sir/Ma'am,ravi.shankar@piramal.com,Piramal,
39,Sir/Ma'am,r.chandrasi1996@gmail.com,Paypal,
40,Sir/Ma'am,careers@talkcharge.com,Talk Charge,
41,Sir/Ma'am,prakriti.goel@pw.live,Physics Wallah,
42,Sir/Ma'am,hiring@zuraverse.xyz,Zuraverse,
43,Sir/Ma'am,npwhrindia@intel.com,INTEL,
44,Sir/Ma'am,naveen.vemula@oracle.com,ORACLE,
45,Sir/Ma'am,suman.rajeev@oracle.com,ORACLE,
46,Sir/Ma'am,hrindia@lucent.com,LUCENT,
47,Sir/Ma'am,dreamjob@sisc.in.sony.com.sg,SONY,
48,Sir/Ma'am,hsshr@hss.hns.com,HUGHES,
49,Sir/Ma'am,nadhr@nortelnetworks.com,NORTEL,
50,Sir/Ma'am,recruitment@blore.tcs.co.in,TCS,
51,Sir/Ma'am,bangalore@vxindia.veritas.com,Veritas,
52,Sir/Ma'am,jobs@india.aspectdv.com,Aspect Dev,
53,Sir/Ma'am,resume@mahindrabt.com,MBT,
54,Sir/Ma'am,resumes@india.hp.com,HP,
55,Sir/Ma'am,rsriram@hclt.com,HCL Tech,
56,Sir/Ma'am,muralikrishna@pentafour.com,PENTAFOUR,
57,Sir/Ma'am,career@novell.com,NOVELL,
58,Sir/Ma'am,careers@india.sun.com,SUN,
59,Sir/Ma'am,jobs@bplinnovision.com,BPL Innovision,
60,Sir/Ma'am,recruit-india@deshaw.com,D E Shaw,
61,Sir/Ma'am,hr_india@icode.com,iCode,
62,Sir/Ma'am,prakash@ptpl.com,PTPL,
63,Sir/Ma'am,hrdindia@india.infogain.com,InfoGain,
64,Sir/Ma'am,globaltalent@bet.satyam.com,Satyam,
65,Sir/Ma'am,resumes@psi.soft.net,PSI,
66,Sir/Ma'am,stumpvision@blr.vsnl.net.in,StumpVision,
67,Sir/Ma'am,krish@stumpvision.com,StumpVision,
68,Sir/Ma'am,bangalore.hrd@inf.com,Infosys,
69,Sir/Ma'am,hmsrecruit@sisl.co.in,Siemens,
70,Sir/Ma'am,careers@wipro.com,Wipro,
71,Sir/Ma'am,adsihr@gafri.com,American Data Solutions,
72,Sir/Ma'am,jobs@healtheonindia.com,Healtheon,
73,Sir/Ma'am,resumeblr@hclt.com,HCL Tech,
74,Sir/Ma'am,careers@bhartitelesoft.com,Bharti Telesoft,
75,Sir/Ma'am,osudar@in.ibm.com,IBM,
